path,type,Language,translationOf,id,title,text,description,hebergementsConcernes,maisonsTourisme,startDate,endDate,state,image
sejour-fute/fete-des-meres-et-des-peres/fetes-des-meres-et-fete-des-peres,Image,,,fetes-des-meres-et-fete-des-peres,fêtes des Mères et fête des pères,,Offrez comme cadeau pour la fête des mères ou la fête des pères un séjour en chambre d'hôtes en ardenne,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/fete-des-meres-et-des-peres/fetes-des-meres-et-fete-des-peres
sejour-fute/fete-des-meres-et-des-peres/fete-des-meres-et-des-peres-en-chambres-dhotes-ou-gites,Vignette,,,fete-des-meres-et-des-peres-en-chambres-dhotes-ou-gites,Fête des Mères et des Pères en chambres d'hôtes ou gîtes,,Retrouvez-vous en chambre d'hôtes ou en gîtes en Ardennes pour fêter comme il se doit votre papa ou votre maman,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/fete-des-meres-et-des-peres/fete-des-meres-et-des-peres-en-chambres-dhotes-ou-gites
sejour-fute/promozione-carta-t-plus-in-camere,SejourFute,it,sejour-fute/action-carte-t-plus-en-chambre-d-hotes,promozione-carta-t-plus-in-camere,Promozione T+ in camere,"
<p align=""center""><img class=""image-inline"" src=""promozione-t-in-camere"" alt=""Promozione T+ in camere"" /><br /></p>
<p>Approfittate di un soggiorno per un fine settimanao un mid-week. In coppia o in famiglia, tutte le formule sono possibili.</p>
<p><b>L’offerta dei Gîtes de Wallonie per qualsiasi soggiorno dal 17 febbraio al 31  dicembre 2009:<br />3° pernottamento gratuito*</b></p>
<p class=""discreet""><b></b>Questo package è un'offerta esclusiva del carata T+. Ordinatelo via il <a href=""http://www.cartetplus.be"" target=""_blank"">sito dell'OPT</a></p>
<p class=""discreet"">* 2 pernottamenti pagati + 1 pernottamento gratuito per qualsiasi soggiorno dal 17 febbraio al 31  dicembre 2009.</p>
",Degli sconti sui vostri soggiorni in camere per gli ospiti dal 17 febbraio al 31 dicembre 2009.,1000|1376|1267|1260|1120|1467|1466|1468|1116|1008|1083|1322,,2009/02/17,2009/12/31,publish,
sejour-fute/promozione-carta-t-plus-in-camere/promozione-t-in-camere,Image,,,promozione-t-in-camere,Promozione T+ in camere,,,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/promozione-carta-t-plus-in-camere/promozione-t-in-camere
sejour-fute/promozione-carta-t-plus-in-camere/promozione-t-in-camere-1,Vignette,,,promozione-t-in-camere-1,Promozione T+ in camere,,,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/promozione-carta-t-plus-in-camere/promozione-t-in-camere-1
sejour-fute/de-middeleeuwen-in-de-citadel-van-namen,SejourFute,nl,sejour-fute/les-medievales,de-middeleeuwen-in-de-citadel-van-namen,De Middeleeuwen in de Citadel van Namen,"
<p align=""center""><img class=""image-inline"" src=""de-middeleeuwen-in-de-citadel-van-namen-vakantiehuis"" alt=""De Middeleeuwen in de Citadel van Namen vakantïehuïs"" /><br /></p>
<p>Ontdek de reconstructie van een middeleeuws dorp. Dit jaar is het stripverhaal het centraal thema van de Middeleeuwse Feesten.</p>
<p>Er zijn tal van animaties voorzien: een gereconstrueerd middeleeuws dorp, een kinderdorp, ambachtslui, muziek… ‘Les Tours du Bois Maury’ van Hermann is een voorstelling die gebracht wordt door ‘la Confrérie de la Malemort’.</p>
<br />
<p class=""discreet"">Meer vernemen...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.citadelle.namur.be/"" target=""_blank"">Citadelle de 
Namur</a></p>
</li></ul>
<ul><li>
<p class=""discreet""><a href=""http://www.mtpn.be/"" target=""_blank"">Maison du tourisme du pays de Namur</a></p>
</li></ul>
",Van 4 tot 5 juli 2009 organiseert men in Namen de ‘Médiévales de la Citadelle’.,,34,2009/05/13,2009/07/06,publish,
sejour-fute/de-middeleeuwen-in-de-citadel-van-namen/de-middeleeuwen-in-de-citadel-van-namen-vakantiewoning,Vignette,,,de-middeleeuwen-in-de-citadel-van-namen-vakantiewoning,De Middeleeuwen in de Citadel van Namen vakantïewoning,,gîte et gastenkamers Namen De middeleeuwen in de citadel,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/de-middeleeuwen-in-de-citadel-van-namen/de-middeleeuwen-in-de-citadel-van-namen-vakantiewoning
sejour-fute/de-middeleeuwen-in-de-citadel-van-namen/de-middeleeuwen-in-de-citadel-van-namen-vakantiehuis,Image,,,de-middeleeuwen-in-de-citadel-van-namen-vakantiehuis,De Middeleeuwen in de Citadel van Namen vakantïehuïs,,vakantieverblijven namen middeleeuwen,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/de-middeleeuwen-in-de-citadel-van-namen/de-middeleeuwen-in-de-citadel-van-namen-vakantiehuis
sejour-fute/bikers2019-classics,SejourFute,nl,sejour-fute/bikers-classics,bikers2019-classics,Bikers’ Classics,"
<p align=""center""><img class=""image-inline"" src=""gite-en-gastenkamer-spa-francorchamps"" alt=""gite en gastenkamer spa francorchamps"" /><br /></p>
<p>Motorenparade, demonstraties, animaties, concerten...</p>
<p class=""discreet"">Meer vernemen...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.bikersclassics.be/"" target=""_blank"">Bikker's 
classics</a></p>
</li></ul>
<ul><li>
<p class=""discreet""><a href=""http://www.pays-des-sources.be/"" target=""_blank"">Maison du tourisme du pays 
des sources</a></p>
</li></ul>
","Van 20 tot 21 juni 2009, Bikers’ Classics in Spa-Francorchamps",,21,2009/05/12 17:05:00 GMT+2,2009/06/22,publish,
sejour-fute/bikers2019-classics/bikers-classics-gite-spa-francorchamps,Vignette,,,bikers-classics-gite-spa-francorchamps,Biker's classics gite Spa-Francorchamps,,"vakantiewoning Francorchamps, biker's classics",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/bikers2019-classics/bikers-classics-gite-spa-francorchamps
sejour-fute/bikers2019-classics/gite-en-gastenkamer-spa-francorchamps,Image,,,gite-en-gastenkamer-spa-francorchamps,gite en gastenkamer spa francorchamps,,biker's classic in spa vakantieverblijf en gastenkamer,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/bikers2019-classics/gite-en-gastenkamer-spa-francorchamps
sejour-fute/karneval-von-houffalize,SejourFute,de,sejour-fute/carnaval-houffalize,karneval-von-houffalize,Karneval von Houffalize,"
<p align=""center""><img class=""image-inline"" src=""carneval-houffalize"" alt=""Karneval von Houffalize"" /><br /></p>
<p>Houffalize bietet einen Karneval mitten im Sommer… Der Zauber des Karnevals und die Sonne noch dazu!</p>
<p>Der Freitag ist von einer provenzalischen Atmosphäre geprägt: Musik, Pastis, Pétanque, Zikaden und Barbecue.</p>
<p>Samstags um 17 Uhr werden die Schlüssel der Stadt dem Sonnenkönig und der Faschingsprinzessin übergeben. Nach einem königlichen Spaziergang durch die Stadt und dem Empfang schließen ein Feuerwerk an den Ufern der Ourthe und eine Faschingsfete den Tag ab.</p>
<p>Als krönender Abschluss des Wochenendes findet am Sonntag der große Karnevalsumzug statt, mit Konzerten und dem traditionellen Ball.</p>
<p>Wenden Sie sich an das Fremdenverkehrsamt <a href=""http://www.houffalize.be"" target=""_blank"">Syndicat d'Initiative d'Houffalize</a> für das detaillierte Programm.</p>
<p class=""discreet"">Mehr Infos...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.houffalize.be/"" target=""_blank"">Royal Syndicat d'Initiative d'Houffalize</a></p>
</li><li>
<p class=""discreet""><a href=""http://www.coeurdelardenne.be/"" target=""_blank"">Maison du Tourisme Houffalize -  La Roche-en-Ardenne</a></p>
</li></ul>
<p></p>
",Vom 1. bis zum 3. August 2008 lädt Houffalize Sie zum Karneval der Sonne ein.,,24,2008/06/18,2008/08/03,publish,
sejour-fute/karneval-von-houffalize/carneval-von-houffalize,Vignette,,,carneval-von-houffalize,Karneval von Houffalize,,"Karneval von Houffalize, ferienhaüser und gästezimmer",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/karneval-von-houffalize/carneval-von-houffalize
sejour-fute/karneval-von-houffalize/carneval-houffalize,Image,,,carneval-houffalize,Karneval von Houffalize,,ferienhaüser und gästezimmer,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/karneval-von-houffalize/carneval-houffalize
sejour-fute/festival-dart-de-huy,SejourFute,nl,sejour-fute/festival-dart-de-huy-musique-et-voix-du-monde,festival-dart-de-huy,Kunstfestival van Huy,"
<p align=""center""><img class=""image-inline"" src=""kunstfestival-van-huy-gastenkamer"" alt=""Kunstfestival van Huy gastenkamer"" /><br /></p>
<p>Jet Kunstfestival van Huy biedt u een reis aan doorheen de traditionele en actuele wereldmuziek. Het is een parcours dat bestaat uit zekere waarden en het delen van emoties. Ontdek dit jaar een ongewoon festival met de meest gekke combinaties: Indiase muziek en Hawaiaanse gitaar, trompet en Arabische muziek…</p>
<br />
<p class=""discreet"">Meer vernemen...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.huyartfestival.be/"" target=""_blank"">Festival d'art de 
Huy</a></p>
</li></ul>
<ul><li>
<p class=""discreet""><a href=""http://www.pays-de-huy.be/"">Maison du tourisme du pays de Huy</a></p>
</li></ul>
",Van 17 tot 23 augustus 2009: Kunstfestival van Huy: wereldmuziek,,20,2009/05/19,2009/08/24,publish,
sejour-fute/festival-dart-de-huy/kunstfestival-van-huy-gite,Vignette,,,kunstfestival-van-huy-gite,Kunstfestival van Huy gite,,"vakantiewoning Huy, Kunstfestival",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/festival-dart-de-huy/kunstfestival-van-huy-gite
sejour-fute/festival-dart-de-huy/kunstfestival-van-huy-gastenkamer,Image,,,kunstfestival-van-huy-gastenkamer,Kunstfestival van Huy gastenkamer,,Huy Kunstfestival gite en gastenkamer,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/festival-dart-de-huy/kunstfestival-van-huy-gastenkamer
sejour-fute/fete-historique-du-festin-1583-a-lessines,SejourFute,nl,sejour-fute/fete-historique-du-festin-1583,fete-historique-du-festin-1583-a-lessines,Historisch feest van ‘Le Festin 1583’ in Lessines,"
<p align=""center""><img class=""image-inline"" src=""historisch-feest-van-le-festin-1583-in-lessines-vakantieverblijf-lessines"" alt=""Historisch feest van ‘Le Festin 1583’ in Lessines vakantieverblijf Lessines"" /><br /></p>
<p>Meer dan 1000 figuranten in 16e-eeuwse kledij: goochelaars, acrobaten, muzikanten, troubadours, soldaten, stadsnotabelen, ambachtslui… bezetten het historische hart van de stad. Het woord ‘festin’ zou een verbastering zijn van het Nederlandse woord vesting.</p>
<p>Le Festin herdenkt de bevrijding van de stad in 1583 door de burgermilitie van kapitein  Sébastien Tramasure. Bezoekers maken een reis door de tijd en belanden gedurende twee dagen in de 16e eeuw.</p>
<p>In het historische centrum ontdekt men het culturele leven en de sfeer van de grote volksmarkten uit de renaissance met een zogenaamde ‘Franche Foire’ waaraan kunstenaars en ambachtslui deelnemen.</p>
<br />
<p class=""discreet"">Meer vernemen...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.lessinesinfo.com/"" target=""_blank"">Lessines</a></p>
</li></ul>
<ul><li>
<p class=""discreet""><a href=""http://www.tournaisis.be/"" target=""_blank"">Maison du tourisme du Tournaisis</a></p>
</li></ul>
",Van 5 tot 6 september 2009: historisch feest van Le Festin 1583 in Lessines,,9,2009/06/22,2009/09/07,publish,
sejour-fute/fete-historique-du-festin-1583-a-lessines/historisch-feest-van-le-festin-1583-in-lessines-gite,Vignette,,,historisch-feest-van-le-festin-1583-in-lessines-gite,Historisch feest van ‘Le Festin 1583’ in Lessines gite,,"vakantiewoning in Lessines, Historisch feest van ‘Le Festin 1583’",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/fete-historique-du-festin-1583-a-lessines/historisch-feest-van-le-festin-1583-in-lessines-gite
sejour-fute/fete-historique-du-festin-1583-a-lessines/historisch-feest-van-le-festin-1583-in-lessines-vakantieverblijf-lessines,Image,,,historisch-feest-van-le-festin-1583-in-lessines-vakantieverblijf-lessines,Historisch feest van ‘Le Festin 1583’ in Lessines vakantieverblijf Lessines,,Lessines gastenkamer en gite,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/fete-historique-du-festin-1583-a-lessines/historisch-feest-van-le-festin-1583-in-lessines-vakantieverblijf-lessines
sejour-fute/esperanzah-1,SejourFute,nl,sejour-fute/esperanzah,esperanzah-1,Esperanzah!,"
<p align=""center""><img class=""image-inline"" src=""esperanzah-gite-en-gastenkamer"" alt=""Esperanzah! gîte en gastenkamer"" /><br /></p>
<p>Ontdek nu al het originele programma van de 8e editie van het festival Esperanzah, er wachten u mooie verrassingen.</p>
<p>Drie dagen vol funk, free jazz, slam, Afrikaanse ritmes, pop-soul, zigeunerswing, electrogolven, reggae en nog veel meer!</p>
<br />
<p class=""discreet"">Meer vernemen...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.esperanzah.be/"">Esperanzah!</a></p>
</li></ul>
<ul><li>
<p class=""discreet""><a href=""http://www.mtpn.be/"" target=""_blank"">Maison du tourisme du pays de Namur</a></p>
</li></ul>
",Van 31 juli tot 2 augustus 2009: festival Esperanzah!,,34,2009/05/18,2009/08/03,publish,
sejour-fute/esperanzah-1/esperanzah,Vignette,,,esperanzah,Esperanzah!,,"vakantiewoning in Floreffe, Esperanzah!",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/esperanzah-1/esperanzah
sejour-fute/esperanzah-1/esperanzah-gite-en-gastenkamer,Image,,,esperanzah-gite-en-gastenkamer,Esperanzah! gîte en gastenkamer,,Floreffe vakantiehuis Esperanzah,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/esperanzah-1/esperanzah-gite-en-gastenkamer
sejour-fute/nuit-musicale-de-beloeil-1,SejourFute,nl,sejour-fute/nuit-musicale-de-beloeil,nuit-musicale-de-beloeil-1,Muzikale nacht van Beloeil,"
<p align=""center""><img class=""image-inline"" src=""muzikale-nacht-van-beloeil-vakantieverblijf"" alt=""Muzikale nacht van Beloeil vakantieverblijf"" /><br /></p>
<p>Al meer dan 20 jaar weerklinkt klassieke muziek op het prinsendomein van Belœil. Het zomerfestival op het kasteel is uitgegroeid tot een topper en trekt altijd een breed en enthousiast publiek aan. De natuurlijke omgeving en het prestigieuze domein zijn samen met de groeiende interesse voor klassieke muziek en de lyrische kunst belangrijke troeven. Maar het is vooral het geweldige concept van de avondwandeling dat verantwoordelijk is voor het succes.</p>
<p>Nadat vorig jaar de 20e verjaardag werd gevierd in gezelschap van 20 grote componisten van klassieke muziek, wil het evenement deze zomer zijn bezoekers onderdompelen in een sprookjesachtige Italiaanse nacht. Een mooie gelegenheid voor een (vernieuwde) kennismaking met het beste van Vivaldi, Verdi, Puccini, Rossini of Pergolese en tegelijk een gelegenheid om de wereld te betreden van Monteverdi, Bellini, Paganini, Corelli of  Donizetti.</p>
<p>Dit jaar zetten 350 artiesten zich in tijdens deze prestigieuze muzikale wandeling doorheen het universum van de Italiaanse componisten. Zij komen vooral uit de Franstalige Gemeenschap, genieten van een grote bekendheid en dragen bij tot de verspreiding van  klassieke muziek voor iedereen.</p>
<p>Laat u even verleiden door de klassieke Italiaanse muziek en  neem deel aan een sprookjesachtige muziekavond.</p>
<br />
<p class=""discreet"">Meer vernemen...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.ideefixe.be/"" target=""_blank"">Idée fixe</a></p>
</li></ul>
<ul><li>
<p class=""discreet""><a href=""http://www.tournaisis.be/"" target=""_blank"">Maison du tourisme du Tournaisis</a></p>
</li></ul>
",Zaterdag 22 augustus 2009: muzikale nacht van Beloeil,,9,2009/05/19,2009/08/23,publish,
sejour-fute/nuit-musicale-de-beloeil-1/muzikale-nacht-van-beloeil-vakantiewoning-gite,Vignette,,,muzikale-nacht-van-beloeil-vakantiewoning-gite,Muzikale nacht van Beloeil vakantiewoning gîte,,"vakantiewoning in Beloeil, Muzikale nacht van Beloeil",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/nuit-musicale-de-beloeil-1/muzikale-nacht-van-beloeil-vakantiewoning-gite
sejour-fute/nuit-musicale-de-beloeil-1/muzikale-nacht-van-beloeil-vakantieverblijf,Image,,,muzikale-nacht-van-beloeil-vakantieverblijf,Muzikale nacht van Beloeil vakantieverblijf,,gatsenkamer en gite beloeil,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/nuit-musicale-de-beloeil-1/muzikale-nacht-van-beloeil-vakantieverblijf
sejour-fute/vacances-theatre-a-stavelot,SejourFute,nl,sejour-fute/vacances-theatre,vacances-theatre-a-stavelot,Vakantie-theater in Stavelot,"
<p></p>
<p align=""center""><img class=""image-inline"" src=""vakantie-theater-stavelot-vakantieverblijf"" alt=""Vakantie-theater Stavelot vakantieverblijf"" /><br /></p>
<p>Een evenement dat zich naar elk soort publiek richt vanwege de variatie in het programma: theater, muziek, zang en theater voor de jeugd…</p>
<br />
<p class=""discreet"">Meer vernemen...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.theatre-etuve.be/"" target=""_blank"">Théâtre de 
l'Etuve</a></p>
</li></ul>
<ul><li>
<p class=""discreet""><a href=""http://www.pays-des-sources.be/"" target=""_blank"">Maison du tourisme du pays 
des sources</a></p>
</li></ul>
",Van 3 tot 11 juli 2009: 44e festival vakantie-theater,,21,2009/05/13,2009/07/12,publish,
sejour-fute/vacances-theatre-a-stavelot/vakantie-theater-vakantiewoning-gite-stavelot,Vignette,,,vakantie-theater-vakantiewoning-gite-stavelot,Vakantie-theater vakantiewoning gite Stavelot,,"Vakantieverblijf in Stavelot, Vakantie-theater",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/vacances-theatre-a-stavelot/vakantie-theater-vakantiewoning-gite-stavelot
sejour-fute/vacances-theatre-a-stavelot/vakantie-theater-stavelot-vakantieverblijf,Image,,,vakantie-theater-stavelot-vakantieverblijf,Vakantie-theater Stavelot vakantieverblijf,,gastenkamer en gite in Stavelot Vakantie-theater,,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/vacances-theatre-a-stavelot/vakantie-theater-stavelot-vakantieverblijf
sejour-fute/exposition-unesco-geants-et-dragons-processionnels,SejourFute,fr,,exposition-unesco-geants-et-dragons-processionnels,Exposition : géants et dragons processionnels à Ath,"<div align=""center""><img class=""image-inline"" src=""exposition-unesco-geants-et-dragons-processionnels-chambre-d-hotes-et-gite-ath"" alt=""Exposition UNESCO : géants et dragons processionnels chambre d'hôtes et gîte Ath"" /><br /></div>
<p><br />Depuis longtemps, géants et dragons animent une fois par an les fêtes populaires. Pourquoi ces fêtes ont-elles une valeur universelle? Comment ont-elles traversé les siècles? Comment expliquer la ferveur des populations? Cette exposition se propose de répondre à ces questions au moyen d'une mise en scène ludique et moderne. Les visiteurs seront invités à rentrer dans la peau d'un géant et à parcourir un périple qui les mènera jusqu'à... la fête!</p>
<p></p>
<br />
<p><i><b>Informations pratiques</b></i></p>
<p>- mardi-vendredi : 10:00-12:00</p>
<p>- mardi-vendredi : 13:00-18:00</p>
<p>- we et jours fériés : 14:00-18:00</p>
<br />
<p class=""discreet"">En savoir plus...</p>
<ul><li>
<p class=""discreet""><a href=""http://www.maisondesgeants.be"" target=""_blank"">Maison des géants</a></p>
</li></ul>
<ul><li>
<p class=""discreet""><a href=""http://www.tournaisis.be"" target=""_blank"">Maison du tourisme du Tournaisis</a></p>
</li></ul>","Du 20 juin au 27 septembre 2009, exposition UNESCO : géants et dragons processionnels",,9,2009/05/13 03:15:00 GMT+2,2009/09/28,publish,
sejour-fute/exposition-unesco-geants-et-dragons-processionnels/exposition-unesco-geants-et-dragons-processionnels-logement-gite-ath,Vignette,,,exposition-unesco-geants-et-dragons-processionnels-logement-gite-ath,Exposition UNESCO : géants et dragons processionnels logement gîte Ath,,"Logement à proximité d'Ath, Exposition UNESCO : géants et dragons processionnels",,,,,publish,http://localhost:6080/gites_wallons/plone/sejour-fute/exposition-unesco-geants-et-dragons-processionnels/exposition-unesco-geants-et-dragons-processionnels-logement-gite-ath
