path,type,Language,translationOf,id,title,text,description,hebergements,state,image
idee-sejour/plus-verblijven/tuin-verblijf,IdeeSejour,nl,idee-sejour/sejour-plus/sejour-gite-au-jardin,tuin-verblijf,Tuin verblijf,"
<p align=""center""><b><img src=""plus-tuin-verblijf"" alt=""Tuin verblijf"" /></b></p>
<p>De ‘Tuin’-gîtes en -gastenkamers staan in de eerste plaats voor een plek vol kleuren en geuren. Uw gastheer is een gedreven liefhebber die u als vriend zal rondleiden in zijn tuin.</p>
<p>Geniet van een rustig moment in een prachtige tuin. Overal ervaart u rust en kalmte, maar  soms wachten u ook verrassingen. Uw gastheer is een kenner en zal u uitnodigen in zijn uitzonderlijke tuin om kennis te maken met de esthetische en botanische kwaliteiten. U ontdekt beschermde, geheime en wilde tuinen, een lust voor het oog.</p>
<p class=""discreet"">Onze partners voor onze ‘Tuin’-gîtes en -gastenkamers: <br /></p>
<ul><li>
<p class=""discreet""><a href=""http://www.jardinsouverts.be"" target=""_blank"">Les Jardins ouverts de Belgique asbl<br /></a></p>
</li><li>
<p class=""discreet""><a href=""http://environnement.wallonie.be/"" target=""_blank"">L'administration wallonne de l'environnement</a></p>
</li></ul>
<p><br /></p>
",Omkader uw vakantie met groen en geef ruimte aan de natuur. Laat u verleiden door de betoverende charme van een stukje getemde natuur en de uitleg van iemand met groene vingers.,583|654|1051|324|1037|943|77|1082,publish,
idee-sejour/plus-verblijven/tuin-verblijf/idee-tuin-verblijf,Vignette,,,idee-tuin-verblijf,Idee Tuin-verblijf,,Tuin-verblijf in een gîte of gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/tuin-verblijf/idee-tuin-verblijf
idee-sejour/plus-verblijven/tuin-verblijf/plus-tuin-verblijf,Image,,,plus-tuin-verblijf,Plus-verblijf van het type Tuin,,"De ‘Tuin’-gîtes en -gastenkamers , een bezoek aan een buitengewone tuin.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/tuin-verblijf/plus-tuin-verblijf
idee-sejour/plus-verblijven/eco-gite-verblijf,IdeeSejour,nl,idee-sejour/sejour-plus/sejour-eco-gite,eco-gite-verblijf,Eco-Gîte verblijf,"
<p align=""center""><b><img class=""image-inline"" src=""eco-gite-verblijf"" alt=""Eco-Gîte verblijf"" /></b></p>
<p>Een Eco-Gîte geeft u de garantie van een comfortabele en leuke vakantie, terwijl u indirect deelneemt aan de bescherming van de natuur.</p>
<p>In samenwerking met de vzw Nature &amp; Progrès nodigen de Gîtes de Wallonie u uit om uw ecologische voetafdruk te verlichten tijdens uw vakantie. Zonder dat u verre verplaatsingen hoeft te maken, bieden wij u logeeradressen waar u toch in een heel andere omgeving terecht komt, met verblijf in een passiefhuis, een ‘ecobioconstructie’ of een pand dat dicht aanleunt bij deze concepten. Alles is er in het werk gesteld om uw impact op het milieu tijdens uw vakantie te verminderen: er werden natuurlijke en milieuvriendelijke materialen gebruikt, er wordt doordacht omgesprongen met water en energie, afval wordt gesorteerd…</p>
<p>Uw gastheer brengt u niet enkel op de hoogte van de milieuvriendelijke maatregelen die hij nam, maar hij bezorgt u ook enkele goede adressen, zoals van lokale producenten, lokale natuurlijke hulpbronnen die men kan bezoeken enz.</p>
<p class=""discreet"">Onze partner voor de gîtes en gastenkamers met het label Eco-Gîte: Nature &amp; Progrès.<br /></p>
<ul><li>
<p class=""discreet""><a href=""http://www.natpro.be"" target=""_blank"">Nature &amp; Progrès Belgique</a></p>
</li></ul>
<p></p>
",Een verblijf in een gîte of gastenkamer is altijd een verblijf dicht bij de natuur. De Eco-Gîte biedt u daarenboven een vakantie met respect voor het milieu in een ecologisch verantwoord logies.,1119|1120|1466|1467|1468|1616,publish,
idee-sejour/plus-verblijven/eco-gite-verblijf/eco-gite-plus-verblijf,Vignette,,,eco-gite-plus-verblijf,Eco-Gîte plus verblijf,,eco gite en eco gastenkamer in ardennen,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/eco-gite-verblijf/eco-gite-plus-verblijf
idee-sejour/plus-verblijven/eco-gite-verblijf/eco-gite-verblijf,Image,,,eco-gite-verblijf,Eco-Gîte verblijf,,ardennen : eco vakantiewoning en gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/eco-gite-verblijf/eco-gite-verblijf
idee-sejour/plus-verblijven/idee-baby-lief-verblijf/bbt.jpg,Vignette,,,bbt.jpg,Idée Séjour Bébé Tendresse,,Séjour Bébé Tendresse en gîte ou chambre d'hôtes,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/idee-baby-lief-verblijf/bbt.jpg
idee-sejour/plus-verblijven/idee-baby-lief-verblijf/sejour-plus-bebe-tendresse,Image,,,sejour-plus-bebe-tendresse,Séjour Plus Bébé Tendresse,,"Les gîtes et chambres d'hôtes Bébé Tendresse, le coup de pouce aux jeunes familles",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/idee-baby-lief-verblijf/sejour-plus-bebe-tendresse
idee-sejour/plus-verblijven/eco-gite-verblijf/eco-gite-plus-verblijf,Vignette,,,eco-gite-plus-verblijf,Eco-Gîte plus verblijf,,eco gite en eco gastenkamer in ardennen,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/eco-gite-verblijf/eco-gite-plus-verblijf
idee-sejour/plus-verblijven/eco-gite-verblijf/eco-gite-verblijf,Image,,,eco-gite-verblijf,Eco-Gîte verblijf,,ardennen : eco vakantiewoning en gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/eco-gite-verblijf/eco-gite-verblijf
idee-sejour/plus-verblijven/verblijf-2018toegankelijk-voor-elk-van-ons2019/idee-verblijf-toegankelijk-voor-elk-van-ons,Vignette,,,idee-verblijf-toegankelijk-voor-elk-van-ons,Idee Verblijf ‘Toegankelijk voor elk van ons’,,Verblijf ‘Toegankelijk voor elk van ons’ in een gîte of gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/verblijf-2018toegankelijk-voor-elk-van-ons2019/idee-verblijf-toegankelijk-voor-elk-van-ons
idee-sejour/plus-verblijven/antiallergisch-verblijf/plus-verblijf-antiallergisch,Image,,,plus-verblijf-antiallergisch,Plus-verblijf Antiallergisch,,"De ‘Antiallergische’ gîtes en gastenkamers, vakantie in een zuivere omgeving.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/antiallergisch-verblijf/plus-verblijf-antiallergisch
idee-sejour/plus-verblijven/tuin-verblijf/idee-tuin-verblijf,Vignette,,,idee-tuin-verblijf,Idee Tuin-verblijf,,Tuin-verblijf in een gîte of gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/tuin-verblijf/idee-tuin-verblijf
idee-sejour/plus-verblijven/verblijf-2018toegankelijk-voor-elk-van-ons2019/plus-verblijf-toegankelijk-voor-elk-van-ons,Image,,,plus-verblijf-toegankelijk-voor-elk-van-ons,Plus-verblijf ‘Toegankelijk voor elk van ons’,,"De gîtes en gastenkamers ‘Toegankelijk voor elk van ons’, om samen te zijn, zelfs al zijn we verschillend.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/verblijf-2018toegankelijk-voor-elk-van-ons2019/plus-verblijf-toegankelijk-voor-elk-van-ons
idee-sejour/plus-verblijven/antiallergisch-verblijf/idee-antiallergisch-verblijf,Vignette,,,idee-antiallergisch-verblijf,Idee Antiallergisch verblijf,,Antiallergisch verblijf in een gîte of gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/antiallergisch-verblijf/idee-antiallergisch-verblijf
idee-sejour/plus-verblijven/tuin-verblijf/plus-tuin-verblijf,Image,,,plus-tuin-verblijf,Plus-verblijf van het type Tuin,,"De ‘Tuin’-gîtes en -gastenkamers , een bezoek aan een buitengewone tuin.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/plus-verblijven/tuin-verblijf/plus-tuin-verblijf
idee-sejour/wellnessverblijf,IdeeSejourFolder,nl,idee-sejour/sejour-bien-etre,wellnessverblijf,Wellness verblijf,,"
<p>Vakantie is een
ideaal moment om zichzelf eens te verwennen. De gîtes en
gastenkamers van het type ‘Wellness’ bieden u de gelegenheid om
de batterijen op te laden en u te herbronnen, ver weg van de
dagelijkse beslommeringen.</p>
",,publish,
idee-sejour/wellnessverblijf/de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen,IdeeSejour,nl,idee-sejour/sejour-bien-etre/sejour-soins-et-relaxation,de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen,Verzorging en relax verblijf,"
<p align=""center""><b><img src=""verzorging-en-relax-verblijf"" alt=""Verzorging en relax verblijf"" /></b></p>
<p></p>
<p align=""justify"">Vakantie, dat betekent er even uit zijn, andere streken en culturen ontdekken, maar ook zich ontspannen en uitrusten.</p>
<p align=""justify"">De ‘Verzorging en relax’-verblijven zijn doorgaans georiënteerd op de toepassing van water bij de behandelingen. Ze bieden balneotherapie, massages, sauna, aromatische baden en alles wat betrekking heeft tot wellness.</p>
<p align=""justify"">U hebt een leven met teveel stress of u zoekt gewoon een moment van rust… tijd om de batterijen te herladen, u beter te voelen en  verkwikt weer vertrekken.</p>
",De Verzorging en relax verblijven nodigen uit tot ontspannen en herbronnen.,289|384|241|387|818|1169|1196|1287|892|235|894|1550|1591|1592|1593|1594|1639,publish,
idee-sejour/wellnessverblijf/de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen/idee-verzorging-en-relax-verblijf,Vignette,,,idee-verzorging-en-relax-verblijf,Idee verzorging en relax verblijf,,‘Verzorging en relax’-verblijf in een gîte of gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen/idee-verzorging-en-relax-verblijf
idee-sejour/wellnessverblijf/de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen/verzorging-en-relax-verblijf,Image,,,verzorging-en-relax-verblijf,Verzorging en relax verblijf,,"De gîtes en gastenkamers van het type ‘Verzorging en relax’, een moment van welbehagen.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen/verzorging-en-relax-verblijf
idee-sejour/wellnessverblijf/sauna-hammam-en-jacuzzi-verblijf,IdeeSejour,nl,idee-sejour/sejour-bien-etre/sejour-sauna-hammam-et-jacuzzi,sauna-hammam-en-jacuzzi-verblijf,"Sauna, hammam en jacuzzi verblijf","
<p align=""center""><b><img src=""sauna-hammam-en-jacuzzi-verblijf"" alt=""Sauna, hammam en jacuzzi verblijf"" /></b></p>
<p></p>
<p align=""justify""></p>
<p style=""text-align: justify;"">De sauna is bekend voor zijn ontspannende eigenschappen, het stimuleren van de bloedsomloop, de eliminatie van toxische stoffen in het lichaam en de versoepeling van de spieren. De jacuzzi zorgt voor een totale ontspanning en de waterstralen masseren de laatste spanningen weg die de stress van het moderne leven veroorzaakt. Wanneer men alles geprobeerd heeft en niets helpt, dan is er nog de hammam. Niets beter dan een stoombad om u te bevrijden van gespannen spieren en de laatste toxische stoffen in uw lichaam te laten afdrijven.</p>
<p style=""text-align: justify;"">Allemaal goede redenen om een gîte of gastenkamer te reserveren die over dergelijke infrastructuur beschikt, de tijd te nemen om te ontspannen en de harmonie terug te vinden.</p>
","Geniet van de ontspannende weldaden van sauna’s, hammams en jacuzzi’s.",530|447|172|294|289|391|366|552|490|52|534|92|963|1042|1041|1040|1043|1044|414|415|669|670|394|856|773|881|696|902|898|1000|249|1010|127|648|387|830|829|828|826|827|825|824|820|192|831|781|818|1169|1195|1209|990|984|1157|1261|1270|1277|1278|1376|892|31|269|158|324|607|894|1549|1595|1596|1597|1598|1599|1591|1592|1593|1594|1585|1582|1583|1568|1611|1613|1626,publish,
idee-sejour/wellnessverblijf/sauna-hammam-en-jacuzzi-verblijf/idee-sauna-hammam-en-jacuzzi-verblijf,Vignette,,,idee-sauna-hammam-en-jacuzzi-verblijf,"Idee Sauna, hammam en jacuzzi verblijf",,"‘Sauna, hammam en jacuzzi’-verblijf in een gîte of gastenkamer",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/sauna-hammam-en-jacuzzi-verblijf/idee-sauna-hammam-en-jacuzzi-verblijf
idee-sejour/wellnessverblijf/sauna-hammam-en-jacuzzi-verblijf/sauna-hammam-en-jacuzzi-verblijf,Image,,,sauna-hammam-en-jacuzzi-verblijf,"Sauna, hammam en jacuzzi verblijf",,"De ‘Sauna, hammam en jacuzzi’-verblijven, neem de tijd om te ontspannen en de harmonie terug te vinden.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/sauna-hammam-en-jacuzzi-verblijf/sauna-hammam-en-jacuzzi-verblijf
idee-sejour/wellnessverblijf/zwembad-verblijf,IdeeSejour,nl,idee-sejour/sejour-bien-etre/sejour-piscine,zwembad-verblijf,Zwembad verblijf,"
<p align=""center""><b><img src=""zwembad-verblijf"" alt=""Zwembad verblijf"" /></b></p>
<p>Het ene seizoen en ook het ene jaar is al beter dan het andere maar heel wat kinderen en volwassenen zullen u bevestigen dat ‘thuis’ een zwembad hebben gewoon heerlijk is.</p>
<p>Bij sommige gastheren kan het zwembad zelfs het hele jaar gebruikt worden, omdat het verwarmd en overdekt is. Denk er evenwel altijd aan om een oogje in het zeil te houden wanneer uw kinderen nog leren zwemmen of met een bandje ronddobberen.</p>
","Een zwembad is altijd plezierig. In de voormiddag een baantje trekken, later op de dag een beetje ploeteren en plonzen of een watergevecht, het ligt allemaal binnen uw bereik.",628|110|552|490|23|143|130|856|489|58|60|59|1007|84|127|276|387|781|558|1080|818|1169|1083|1252|1269|1282|1529|55|269|168|601|740|1554|1555|1578|1579|1595|1596|1597|1598|1599|1591|1592|1593|1594|1600|1601|1566|1568|1611|1625|1636|1637,publish,
idee-sejour/wellnessverblijf/zwembad-verblijf/idee-zwembad-verblijf,Vignette,,,idee-zwembad-verblijf,Idee Zwembad verblijf,,Zwembad verblijf in gites en gastenkamers,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/zwembad-verblijf/idee-zwembad-verblijf
idee-sejour/wellnessverblijf/zwembad-verblijf/zwembad-verblijf,Image,,,zwembad-verblijf,Zwembad verblijf,,"De Zwembad-gîtes en -gastenkamers, zoals een vis in het water.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/zwembad-verblijf/zwembad-verblijf
idee-sejour/wellnessverblijf/zwembad-verblijf/idee-zwembad-verblijf,Vignette,,,idee-zwembad-verblijf,Idee Zwembad verblijf,,Zwembad verblijf in gites en gastenkamers,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/zwembad-verblijf/idee-zwembad-verblijf
idee-sejour/wellnessverblijf/de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen/idee-verzorging-en-relax-verblijf,Vignette,,,idee-verzorging-en-relax-verblijf,Idee verzorging en relax verblijf,,‘Verzorging en relax’-verblijf in een gîte of gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen/idee-verzorging-en-relax-verblijf
idee-sejour/wellnessverblijf/de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen/verzorging-en-relax-verblijf,Image,,,verzorging-en-relax-verblijf,Verzorging en relax verblijf,,"De gîtes en gastenkamers van het type ‘Verzorging en relax’, een moment van welbehagen.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/de-verzorging-en-relax-verblijven-nodigen-uit-tot-ontspannen-en-herbronnen/verzorging-en-relax-verblijf
idee-sejour/wellnessverblijf/sauna-hammam-en-jacuzzi-verblijf/idee-sauna-hammam-en-jacuzzi-verblijf,Vignette,,,idee-sauna-hammam-en-jacuzzi-verblijf,"Idee Sauna, hammam en jacuzzi verblijf",,"‘Sauna, hammam en jacuzzi’-verblijf in een gîte of gastenkamer",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/sauna-hammam-en-jacuzzi-verblijf/idee-sauna-hammam-en-jacuzzi-verblijf
idee-sejour/wellnessverblijf/sauna-hammam-en-jacuzzi-verblijf/sauna-hammam-en-jacuzzi-verblijf,Image,,,sauna-hammam-en-jacuzzi-verblijf,"Sauna, hammam en jacuzzi verblijf",,"De ‘Sauna, hammam en jacuzzi’-verblijven, neem de tijd om te ontspannen en de harmonie terug te vinden.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/sauna-hammam-en-jacuzzi-verblijf/sauna-hammam-en-jacuzzi-verblijf
idee-sejour/wellnessverblijf/zwembad-verblijf/zwembad-verblijf,Image,,,zwembad-verblijf,Zwembad verblijf,,"De Zwembad-gîtes en -gastenkamers, zoals een vis in het water.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/wellnessverblijf/zwembad-verblijf/zwembad-verblijf
idee-sejour/verblijf-voor-groepen,IdeeSejourFolder,nl,idee-sejour/sejour-de-groupe,verblijf-voor-groepen,Verblijf voor Groepen,,"
<p>Een groepsverblijf met collega’s, vrienden of de familie voor een werkvergadering, een feest of gewoon voor het plezier van samen te zijn.</p>
",,publish,
idee-sejour/verblijf-voor-groepen/verblijf-voor-groepen,IdeeSejour,nl,idee-sejour/sejour-de-groupe/sejour-pour-groupe,verblijf-voor-groepen,Verblijf voor Groepen,"
<p align=""center""><b><img src=""verblijf-voor-groepen"" alt=""Verblijf voor Groepen"" /></b></p>
<p>Het zijn plaatsen bij uitstek voor een bijeenkomst van families of vrienden. De gîtes met grote capaciteit bieden een infrastructuur voor een autonoom en comfortabel verblijf.</p>
<p>In sommige gebouwen kunnen families individueel terecht, terwijl er voorzieningen zijn om gemeenschappelijk te eten of samen iets te vieren. In zulke gevallen verblijft elke familie in een geïndividualiseerd logies, in ‘eigen huiskring’, om op een ander moment deel te nemen aan de gemeenschappelijke activiteiten.</p>
",Een samenzijn van familie of vrienden…,519|960|294|289|238|952|391|872|366|92|540|1010|1003|85|930|648|387|49|589|741|1151|1152|1195|1196|1198|1199|1200|1147|1146|1167|1128|1135|1129|1157|1171|1155|1123|1172|1158|1133|1132|1125|1214|1215|1217|1218|17|984|147|90|52|219|158|607|552|534|801,publish,
idee-sejour/verblijf-voor-groepen/verblijf-voor-groepen/verblijf-voor-groepen,Image,,,verblijf-voor-groepen,Verblijf voor Groepen,,"De gîtes en gastenkamers voor ‘Groepen’, locaties om elkaar terug te zien of vergaderplaatsen.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/verblijf-voor-groepen/verblijf-voor-groepen/verblijf-voor-groepen
idee-sejour/verblijf-voor-groepen/verblijf-voor-groepen/idee-verblijf-voor-groepen,Vignette,,,idee-verblijf-voor-groepen,Idee verblijf voor Groepen,,Verblijf voor ‘Groepen’ in een gîte of gastenkamer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/verblijf-voor-groepen/verblijf-voor-groepen/idee-verblijf-voor-groepen
